Rank (Project Rank),X-rank (Draft Rank),Name
1,1,James Harden
2,2,Anthony Davis
3,3,Karl-Anthony Towns
23,4,Luka Doncic
9,5,Stephen Curry
5,6,Damian Lillard
7,7,Nikola Jokic
14,8,Giannis Antetokounmpo
16,9,Trae Young
8,10,Jayson Tatum
51,11,LeBron James
10,12,Kevin Durant
4,13,John Collins
25,14,Devin Booker
6,15,Kawhi Leonard
41,16,Bradley Beal
11,17,Paul George
15,18,Joel Embiid
12,19,Jimmy Butler
19,20,Deandre Ayton
21,21,Bam Adebayo
18,22,Kyrie Irving
126,23,Zion Williamson
74,24,Russell Westbrook
40,25,Donovan Mitchell
55,26,Kemba Walker
42,27,Jrue Holiday
38,28,Ben Simmons
24,29,Rudy Gobert
92,30,Ja Morant
36,31,Jamal Murray
33,32,Zach LaVine
17,33,Nikola Vucevic
29,34,Shai Gilgeous-Alexander
71,35,De'Aaron Fox
46,36,Chris Paul
52,37,Pascal Siakam
30,38,Fred VanVleet
61,39,Brandon Ingram
13,40,Jusuf Nurkic
27,41,Khris Middleton
32,42,Kristaps Porzingis
86,43,Draymond Green
70,44,Jaylen Brown
69,45,D'Angelo Russell
54,46,CJ McCollum
20,47,Mitchell Robinson
37,48,Andre Drummond
56,49,Kyle Lowry
132,50,John Wall
65,51,Buddy Hield
88,52,Lonzo Ball
47,53,Domantas Sabonis
93,54,Jonas Valanciunas
31,55,TJ Warren
59,56,LaMarcus Aldridge
131,57,Andrew Wiggins
44,58,Clint Capela
48,59,Jaren Jackson
81,60,Kelly Oubre
83,61,Ricky Rubio
66,62,Christian Wood
39,63,Tobias Harris
45,64,Dejounte Murray
140,65,Coby White
137,66,Tyler Herro
103,67,Aaron Gordon
49,68,Hassan Whiteside
141,69,Julius Randle
58,70,Myles Turner
94,71,Danilo Gallinari
225,72,Caris LeVert
53,73,Brandon Clarke
35,74,DeMar DeRozan
125,75,Eric Bledsoe
50,76,Richaun Holmes
63,77,Lauri Markkanen
26,78,Robert Covington
182,79,Victor Oladipo
64,80,Derrick White
108,81,Wendell Carter
118,82,Steven Adams
218,83,Blake Griffin
84,84,Malcolm Brogdon
127,85,Obi Toppin
78,86,Kevin Love
43,87,Gordon Hayward
205,88,Anthony Edwards
60,89,Davis Bertans
68,90,Thomas Bryant
72,91,Michael Porter
152,92,Mike Conley
62,93,Devonte' Graham
67,94,Marcus Smart
100,95,Markelle Fultz
153,96,Dennis Schroder
22,97,OG Anunoby
95,98,Kevin Huerter
28,99,Mikal Bridges
101,100,Al Horford
228,101,Lamelo Ball
139,102,Cam Reddish
107,103,Montrezl Harrell
102,104,Otto Porter
76,105,Jarrett Allen
91,106,Duncan Robinson
106,107,Tyrese Haliburton
73,108,Evan Fournier
96,109,Collin Sexton
104,110,Rui Hachimura
117,111,James Wiseman
151,112,Will Barton
219,113,RJ Barrett
80,114,Norman Powell
85,115,Bogdan Bogdanovic
75,116,Daniel Theis
82,117,Jerami Grant
113,118,Miles Bridges
142,119,Joe Ingles
169,120,Goran Dragic
111,121,Serge Ibaka
133,122,Josh Richardson
97,123,Terry Rozier
159,124,Marvin Bagley
121,125,PJ Washington
57,126,Brook Lopez
99,127,Larry Nance
174,128,De'Andre Hunter
268,129,Killian Hayes
112,130,Bojan Bogdanovic
303,131,Marquese Chriss
128,132,Joe Harris
110,133,Luke Kennard
239,134,Marc Gasol
147,135,Jeff Teague
161,136,Malik Beasley
274,137,Justise Winslow
223,138,Spencer Dinwiddie
188,139,Kevin Porter
160,140,Derrick Favors
166,141,Lou Williams
193,142,Kyle Kuzma
79,143,Robert Williams
144,144,Jeremy Lamb
109,145,DeAndre Jordan
203,146,Derrick Rose
305,147,Dewayne Dedmon
135,148,Tomas Satoransky
202,149,Paul Millsap
87,150,Donte DiVincenzo
129,151,Harrison Barnes
184,152,Zach Collins
173,153,Jaxson Hayes
191,154,Delon Wright
143,155,Tim Hardaway
224,156,De'Anthony Melton
172,157,Jakob Poeltl
115,158,PJ Tucker
192,159,Eric Gordon
231,160,Darius Garland
154,161,Dario Saric
119,162,Nerlens Noel
130,163,Seth Curry
171,164,DeMarcus Cousins
190,165,Matisse Thybulle
158,166,Thaddeus Young
162,167,JJ Redick
395,168,Nicolas Batum
183,169,Trevor Ariza
221,170,Gary Harris
197,171,Patrick Beverley
176,172,Elfrid Payton
222,173,Jarrett Culver
466,174,Nicolas Claxton
149,175,Cameron Johnson
116,176,Troy Brown
90,177,Terrence Ross
333,178,Meyers Leonard
299,179,Sekou Doumbouya
114,180,Jae Crowder
207,181,Derrick Jones
186,182,Dillon Brooks
246,183,Swight Powell
89,184,Danuel House
213,185,Josh Okogie
254,186,Eric Paschall
302,187,Harry Giles
212,188,Cedi Osman
220,189,Enes Kanter
245,190,Carmelo Anthony
170,191,Danny Green
374,192,Goga Bitadze
34,193,Klay Thompson
234,194,Taurean Prince
164,195,Gorgui Dieng
284,196,Kendrick Nunn
216,197,Cody Zeller
439,198,Kevon Looney
145,199,JaVale McGee
242,200,Dwight Howard
136,201,Royce O'Neale
120,202,Josh Hart
200,203,Bobby Portis
168,204,Kelly Olynyk
237,205,Landry Shamet
211,206,Tyus Jones
155,207,Rudy Gay
296,208,DJ Augustin
180,209,Willie Cauley-Stein
255,210,Alex Len
105,211,Maxi Kleber
77,212,Ivica Zubac
215,213,Kyle Anderson
271,214,Markieff Morris
187,215,Kent Bazemore
251,216,Reggie Jackson
194,217,Malik Monk
235,218,Ish Smith
669,219,Marvin Williams
306,220,Rajon Rondo
138,221,Monte Morris
175,222,Kris Dunn
272,223,Jabari Parker
449,224,Dennis Smith
435,225,Dwayne Bacon
229,226,James Johnson
230,227,Hjamychal Green
156,228,Jordan Clarkson
177,229,Marcus Morris
157,230,Kentavious Caldwell-Pope
259,231,Rodney Hood
201,232,George Hill
376,233,Rodions Kurucs
285,234,Mason Plumlee
433,235,Al-Farouq Aminu
292,236,Jeff Green
269,237,Wesley Matthews
148,238,Bruce Brown
178,239,Mo Bamba
316,240,Nickeil Alexander-Walker
243,241,Moe Harkless
311,242,Kevin Knox
327,243,Dion Waiters
344,244,Boban Marjanovic
240,245,Moritz Wagner
209,246,Cory Joseph
369,247,Tyler Johnson
301,248,Anfernee Simons
448,249,Jordan Bell
467,250,Michael Kidd-Gilchrist
122,251,Aaron Holiday
309,252,Grant Williams
294,253,Glenn Robinson
214,254,Avery Bradley
227,255,Tony Snell
394,256,Alfonzo McKinnie
312,257,Mario Hezonja
189,258,TJ McConnell
275,259,Taj Gibson
249,260,Pat Connaughton
123,261,Nemanja Bjelica
361,262,Bruno Fernando
393,263,Kyle O'Quinn
476,264,Stanley Johnson
298,265,Josh Jackson
341,266,Robin Lopez
310,267,DeAndre Bembry
397,268,Noal Vonleh
163,269,Alec Burks
308,270,Denzel Valentine
204,271,Svi Mykhailiuk
247,272,Shabazz Napier
98,273,Justin Holiday
124,274,Dorian Finney-Smith
217,275,Patty Mills
236,276,Langston Galloway
244,277,Garrett Temple
198,278,Bryn Forbes
238,279,Ben McLemore
195,280,Brad Wanamaker
253,281,Damion Lee
196,282,Doug McDermott
241,283,Furkan Korkmaz
232,284,Trey Lyles
250,285,Ersan Ilyasova
165,286,Gary Trent
267,287,Austin Rivers
233,288,Chris Boucher
146,289,Terence Davis
260,290,James Ennis
199,291,Alex Caruso
279,292,Mike Scott
287,293,Torrey Craig
270,294,Rondae Hollis-Jefferson
286,295,Kyle Korver
266,296,Damian Jones
206,297,Frank Ntilikina
273,298,Jevon Carter
330,299,Aaron Baynes
293,300,Jalen Brunson